question,ground_truth,pipeline_answer,retrieved_contexts,answer_similarity,context_relevance,exact_match
What is the title of the work by Mingkai Deng and others published in 2022?,RLPrompt: Optimizing discrete text prompts with reinforcement learning.,"The title of the work by Mingkai Deng and others published in 2022 is ""Scaling Up Vision-Language Pretraining for Image-Text Matching"" (source document).","learning performance on a simple task requiring the model to
remove random symbols from a word, both with and without
a natural language task description. Courtesy of [56].
Fig. 10: The high-level overview of RLHF. Courtesy of [59].
Vigogne [69], Tulu 65B [70], Long LLaMA [71], and Stable
Beluga2 [72], just to name a few.
3) The PaLM F amily : The PaLM (Pathways Language
Model) family are developed by Google. The first PaLM
model [31] was announced in April 2022 and remained private | results, it poses challenges in scalability and mainte-
nance.
Manual CoT is more effective than zero-shot. However,
the effectiveness of this example-based CoT depends on the
choice of diverse examples, and constructing prompts with
such examples of step by step reasoning by hand is hard and
error prone. That is where automatic CoT [157] comes into
play.
2) Tree of Thought (ToT): The Tree of Thought (ToT)
[158] prompting technique is inspired by the concept of | in Table 2) outperforms the best previously reported models (including ensembles) by more than 2.0
BLEU, establishing a new state-of-the-art BLEU score of 28.4. The configuration of this model is
listed in the bottom line of Table 3. Training took 3.5 days on 8 P100 GPUs. Even our base model
surpasses all previously published models and ensembles, at a fraction of the training cost of any of
the competitive models.",0.2765,0.2395,0.0
How many warmup steps are used in the training?,4000.,"In the training, 10,000 warmup steps are used to gradually increase the learning rate to its peak value (source document).","The NSP objective was designed to improve
performance on downstream tasks, such as Natural
Language Inference (
Bowman et al., 2015), which
require reasoning about the relationships between
pairs of sentences.
2.4 Optimization
BERT is optimized with Adam (
Kingma and Ba ,
2015) using the following parameters: β1 = 0 . 9,
β2 = 0 . 999, ǫ = 1e-6 and L2 weight de-
cay of 0. 01. The learning rate is warmed up
over the ﬁrst 10,000 steps to a peak value of
1e-4, and then linearly decayed. BERT trains | experiments use 100K steps. We check validation performance every 1/10 total training steps.
For linear probing of classification tasks, we take the output feature and use scipy package to train
a linear classifier. For multiple-choice tasks and generation tasks, we found that this leads to poor
results since the output space is the whole vocabulary; instead, we do head-tuning, where the whole
model is fixed except for the LM projection head. We use a batch size of 8 and a learning rate of | Learning Rates {1e−5, 5e−5, 8e−5}
Table 16: The hyperparameter grids used for OPT experiments. All weight decay is set to 0. FT uses
5 epochs and linear scheduled learning rates and MeZO uses 20K steps and constant learning rates.
We check validation performance and save the best checkpoint every 1/5 total training steps.
computed as 
W + α
r AB

x + b (6)
where r and α are hyperparameters. A and B are trained on the downstream task while W is frozen",0.2672,0.4378,0.0
How many tasks did MeZO achieve comparable or better performance on?,7 out of the 11 tasks.,MeZO achieved comparable (within 1%) or better performance on 7 out of the 11 tasks evaluated (source document).,"MeZO achieves comparable (within 1%) or better performance on 7 out of the 11 tasks.
MeZO exhibits strong performance across classification, multiple-choice, and generation tasks.
We investigate MeZO on generation tasks, which are regarded as more intricate than classification or
multiple-choice tasks. We evaluate on two question answering datasets, SQuAD [80] and DROP [31].
We use teacher forcing for training and greedy decoding for inference (details in Appendix E). | Table 1 shows that, on all generation tasks, MeZO outperforms zero-shot, ICL, and LP, and achieves
comparable performance to FT. Considering that many applications of fine-tuning LMs – including
instruction tuning or domain adaptation – target generation tasks, our results underscore the potential
of MeZO as a memory-efficient technique to optimize large LMs for realistic and exciting applications.
5We also include SST-2, which is a simple sentiment classification task that we use for development.
6 | and task types. Moreover, MeZO performs comparably to FT over a number of tasks, while drastically
reducing the memory cost by, for example, 12× on OPT-13B. Further experiments demonstrate that
MeZO can optimize non-differentiable objectives, such as accuracy and F1 score (Section 3.3). We
compare the memory consumption of ICL, FT, LP, and MeZO in Figures 3 and 4.
3.1 Medium-sized masked language models
We conduct experiments with RoBERTa-large on sentiment classification, natural language inference,",0.4525,0.7345,0.0
What is the purpose of the Pass@k metric in code generation evaluations?,It measures the probability of selecting the correct solution among different generated code solutions.,"The purpose of the Pass@k metric in code generation evaluations is to assess the capability of a model to generate correct solutions among multiple generated code options. Specifically, it evaluates whether at least one of the top \( k \) generated code snippets passes a given test suite for a particular problem. This metric is particularly useful in understanding not only the correctness of the generated code but also the diversity of solutions that the model can produce, thereby providing insights into the model's performance in generating valid and varied code solutions (source document).","appears. At this point, the sequence of tokens (AKA “beam”)
with the highest overall score is chosen as the output. For
example for beam size of 2 and maximum length of 5,
the beam search needs to keep track of 25 = 32 possible
sequences. So it is more computationally intensive than greedy
search.
3) T op-k Sampling: Top-k sampling is a technique that
uses the probability distribution generated by the language
model to select a token randomly from the k most likely
options. | evaluation. Code generation is a very different case in open-
ended generative evaluations. The generated code must pass
the test suite but on the other hand, it is also important
to understand if a model is capable of generating different
solutions as a code, what is the probability of selecting the
correct one among them. Pass@k is a very good metric in this
case. It works in this manner that given a problem, different
solutions as code are generated. They are tested for correctness | scores work well when there is a reference text as ground
truth (such as translation) and a hypothesis that is generated
by the generative model, in our case the LLM. These scores
are mostly used for cases where the goal is to detect the
similarity of the answer and ground truth in a computation
manner. In a computation manner, it meant that nothing more
than N-Grams would be used. However, metrics such as BERT-
Score are also good for these cases but they are also heavily",0.59,0.6965,0.0
What do the authors implement to estimate the accuracy metric?,Different automation strategies that use LLMs.,"The authors implement a method to estimate the accuracy metric by breaking down the output of a Large Language Model (LLM) generation into ""atomic facts."" The final accuracy score is computed as the sum of the accuracy of each atomic fact, allowing for a more granular assessment of the generated content's correctness (source document).","scores work well when there is a reference text as ground
truth (such as translation) and a hypothesis that is generated
by the generative model, in our case the LLM. These scores
are mostly used for cases where the goal is to detect the
similarity of the answer and ground truth in a computation
manner. In a computation manner, it meant that nothing more
than N-Grams would be used. However, metrics such as BERT-
Score are also good for these cases but they are also heavily | evaluation. Code generation is a very different case in open-
ended generative evaluations. The generated code must pass
the test suite but on the other hand, it is also important
to understand if a model is capable of generating different
solutions as a code, what is the probability of selecting the
correct one among them. Pass@k is a very good metric in this
case. It works in this manner that given a problem, different
solutions as code are generated. They are tested for correctness | 1) Scoring: Human evaluators rate the level of halluci-
nation within a predefined scale.
2) Comparative Analysis : Evaluators compare gener-
ated content against baseline or ground-truth refer-
ences, adding an essential layer of subjective assess-
ment.
FactScore [155] is a recent example of a metric that can be
used both for human and model-based evaluation. The metric
breaks an LLM generation into “atomic facts”. The final score
is computed as the sum of the accuracy of each atomic fact,",0.3841,0.4251,0.0
What is the condition for reaching a solution with E[L(θt)] − L∗ ≤ ϵ after a certain number of iterations?,"t = max{2ℓ/µ, 2ℓα/µ2B} log{L(θ0) − L∗/ϵ} = O{(ℓ/µ + ℓα/µ2B) log(L(θ0) − L∗/ϵ)} iterations.","The condition for reaching a solution with \( E[L(\theta_t)] - L^* \leq \epsilon \) after a certain number of iterations is that the loss decreases at a rate that is independent of the parameter dimension \( d \). Specifically, under certain assumptions regarding the loss landscape and the algorithm's behavior, the convergence can be achieved in time that does not depend on the number of parameters, allowing the model to reach the desired accuracy level efficiently (source document).","already been trained for many steps on the fine-tuning objective, which implies that the loss landscape
exhibits favorable conditions (Assumption 1). Then, we derive a convergence rate independent of
the number of parameters. We show that the loss decreases per step at a rate independent of the
parameter dimension d (Theorem 1), and that, under stronger conditions, the algorithm converges in
time independent of d (Lemma 3). Together, these results imply that MeZO is not catastrophically | 7) Rails: Rails in advanced prompt engineering refer to
a method of guiding and controlling the output of Large
Language Models (LLMs) through predefined rules or tem-
plates. This approach is designed to ensure that the model’s
responses adhere to certain standards or criteria, enhancing the
relevance, safety, and accuracy of the output. The concept of
Rails involves setting up a framework or a set of guidelines
that the LLM must follow while generating responses. These | stopping, unlike the ones reported in Table 18. We heuristically implement early stopping by limiting
the number of iterations (from 5000 to 1000) and increasing the convergence tolerance (from1e−4 to
0.01) in the scipy solver. Experiments on a few settings show that LP-MeZO can sometimes improve
performance without increasing the memory consumption (see Table 19). However, sometimes, linear
probing first can severely hurt performance.
28",0.5372,0.4638,0.0
What type of answers are generated by the model for multi-choice question answering tasks?,True or False.,"For multi-choice question answering tasks, the model generates answers that are always either True or False. If the answer is not included in the set of options provided, it can also be interpreted as False. This binary classification approach is essential for evaluating the model's performance in such tasks (source document).","or retrieval.
E. LLM Agents
The idea of AI agents has been well-explored in the history
of AI. An agent is typically an autonomous entity that can
perceive the environment using its sensors, make a judgment
based on the state it currently is, and accordingly act based on
the actions that are available to it.
In the context of LLMs, an agent refers to a system based
on a specialized instantiation of an (augmented) LLM that
is capable of performing specific tasks autonomously. These | ing, where a question (q) is provided along with two
potential solutions (s1, s2). Then, the best solution is
chosen by whether a model or a human. For each
question, only one of the solutions is the correct
answer.
• SIQA [195] provides a framework for evaluating mod-
els’ ability for commonsense reasoning about social
situations. SIQA dataset has 38, 000 multiple-choice
questions designed to assess emotional and social
intelligence in everyday circumstances. This dataset | recall, F1, etc are applicable in this case. It is also important to
note that the answers generated by the model for specific tasks
such as multi-choice question answering are always either True
or False. If the answer is not in a set of options, it can be seen
as False as well.
However, some tasks that are purely open-ended text gener-
ation cannot be evaluated in the same way as for categorization.
Different metrics are required for the specific purpose of the",0.4317,0.6057,1.0
What dataset did GPT-2 use for training?,A large WebText dataset consisting of millions of webpages.,"GPT-2 was trained on a large WebText dataset, which consists of millions of webpages. This dataset was designed to provide a diverse range of text for the model to learn from, enabling it to perform various natural language processing tasks effectively (source document).","(and later by GPT-4), a sibling model to InstructGPT, which
is trained to follow an instruction in a prompt and provide a
detailed response.
GPT-4 [33] is the latest and most powerful LLM in the
GPT family. Launched in March, 2023, GPT-4 is a multi-
modal LLM in that it can take image and text as inputs and
produce text outputs. While still less capable than humans
in some of the most challenging real-world scenarios, GPT-4
exhibits human-level performance on various professional and | demonstrations specified purely via text interaction with the
model. GPT-3 achieved strong performance on many NLP
tasks, including translation, question-answering, and the cloze
tasks, as well as several ones that require on-the-fly reasoning
or domain adaptation, such as unscrambling words, using a
novel word in a sentence, 3-digit arithmetic. Fig 9 plots the
performance of GPT-3 as a function of the number of examples
in in-context prompts.
CODEX [57], released by OpenAI in March 2023, is a | Fig 7. GPT-1 paves the way for subsequent GPT models, with
each version improving upon the architecture and achieving
better performance on various language tasks.
GPT-2 [51] shows that language models are able to learn
to perform specific natural language tasks without any explicit
supervision when trained on a large WebText dataset consisting
of millions of webpages. The GPT-2 model follows the model
designs of GPT-1 with a few modifications: Layer normal-",0.6262,0.5787,0.0
"What is the value associated with the entry ""1024 128 128"" in the passage?",4.66,"The value associated with the entry ""1024 128 128"" in the passage refers to the number of parameters in a specific model configuration. This configuration indicates a model with 1,024 hidden units, a key/value size of 128, and a feedforward layer size of 128 (source document).","prediction on a test example. While this allows for quick adaptation of the model to specific use cases,
current models allow a limited context size (and thus, limited demonstrations) and the performance
is sensitive to the formatting and choice of demonstrations [60, 66]. ICL can slow with the number
of demonstrations, and it often performs worse than fine-tuning of medium-sized models [13].
Backpropagation also cannot optimize non-differentiable criteria, which have gained popularity in | number of parameters is not completely comparable to one
with a larger number of parameters. From this perspective, we
will categorize LLMs in four categories as well: small (less
than or equal to 1 billion parameters), medium (between 1 and
10 billion), large (between 10 and 100 billion), and very large
(more than 100 billion). Another classification for the LLMs
we use is their primary use case. We consider each LLM to
be either: Foundation model (pretrained language model with | of layers, the key/value size, and other hyper-parameters of
different model sizes are shown in Fig 16.
T0: In [80], Sanh et al. developed T0, a system for easily
mapping any natural language tasks into a human-readable
prompted form. They converted a large set of supervised",0.2411,0.2488,0.0
What type of data did the authors find challenging to work with in the passage?,NLI-format data,"The authors found the provided NLI-format (Natural Language Inference format) data to be challenging to work with. Instead of using this data, they opted to use reformatted WNLI data from SuperGLUE, which indicates the span of the query pronoun and referent (source document).","2) WordPieceEncoding: This algorithm is mainly used for
very well-known models such as BERT and Electra. At the
beginning of training, the algorithm takes all the alphabet from
the training data to make sure that nothing will be left as UNK
or unknown from the training dataset. This case happens when
the model is given an input that can not be tokenized by the
tokenizer. It mostly happens in cases where some characters are
not tokenizable by it. Similar to BytePairEncoding, it tries to | may not contribute significantly to the model’s learning.
Dealing with Ambiguities: Resolving or excluding am-
biguous or contradictory data that might confuse the model
during training. This can help the model to provide more
definite and reliable answers.
2) Deduplication: De-duplication refers to the process of
removing duplicate instances or repeated occurrences of the
same data in a dataset. Duplicate data points can introduce
biases in the model training process and reduce the diversity, as | simpliﬁes the task, but is not directly comparable
to BERT (
Devlin et al., 2019). Following recent
work, we adopt the ranking approach for our test
submission, but for direct comparison with BERT
we report development set results based on a pure
classiﬁcation approach.
WNLI
: We found the provided NLI-format
data to be challenging to work with. Instead
we use the reformatted WNLI data from Super-
GLUE (
Wang et al., 2019a), which indicates the
span of the query pronoun and referent. We ﬁne-",0.6549,0.2947,0.0
